Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Ronco Broilo 2010,Italy,Colli Orientali del Friuli,Conte d'Attimis Maniago,4.3,25,44.9,2010,White,46.0096606,13.3416919
Weisser Schiefer s 2017,Austria,SÃ¼dburgenland,Weinbau Uwe Schiefer,4.2,25,33.25,2017,White,47.2340461,16.3484524
Kieselberg GG 2015,Germany,Pfalz,Von Winning,4.1,25,33.95,2015,White,49.4106226,8.1863799
Berg Riesling 2018,France,Alsace,Domaine Pfister,4.2,25,15.9,2018,White,48.5854917,7.5083387
Pinot Gris 2016,Luxembourg,Luxembourg,ChÃ¢teau de Schengen,4.1,25,21.44,2016,White,49.4707634,6.3655221
Westhofener Weisser Burgunder - Chardonnay Trocken 2017,Germany,Rheinhessen,Wittmann,4.1,25,18.53,2017,White,41.8483505,-73.0750579
Schlossberg Achkarren Grauburgunder GG 2016,Germany,Baden,Dr. Heger,4.0,25,28.0,2016,White,43.2071186,-86.2086644
Sauvignon Blanc 2019,Germany,Pfalz,Ellermann-Spiegel,4.1,26,7.36,2019,White,49.2624096,8.187472
Greco di Tufo 2018,Italy,Campania,Pietracupa,4.0,26,23.65,2018,White,41.6804743,14.5130967
Lotterbrunnen GewÃ¼rztraminer 2016,Italy,SÃ¼dtirol - Alto Adige,Castel Sallegg,4.1,26,11.5,2016,White,46.414789,11.239828
JalÃ¨ (Tenuta Ficuzza) 2018,Italy,Sicilia,Cusumano,4.1,26,15.5,2018,White,41.3679869,-75.7375741
Monte Carbonare 2018,Italy,Soave Classico,Suavia,4.1,26,12.3,2018,White,45.45273,11.2549
GrÃ¼ner Veltliner Lamm Reserve 2017,Austria,Kamptal,Weingut BrÃ¼ndlmayer,4.1,26,43.99,2017,White,48.4738838,15.6650811
Royal Riesling Kabinett Trocken 2018,Germany,Johannisberg,Prinz von Hessen,4.0,26,12.5,2018,White,49.9953086,7.9814577
Ritme Blanc 2017,Spain,Priorat,Acustic Celler,4.0,26,16.99,2017,White,41.1268098,0.7963686
Arcane 2018,France,Saumur,ChÃ¢teau de Fosse-SÃ¨che,4.0,26,27.2,2018,White,47.1575222,-0.208358
Vieilles Vignes CÃ´tes Catalanes Blanc 2015,France,CÃ´tes Catalanes,Gauby,4.0,26,29.15,2015,White,42.74938,2.7636073
Pessac-LÃ©ognan Blanc 2015,France,Pessac-LÃ©ognan,ChÃ¢teau Gazin Rocquencourt,4.0,26,34.15,2015,White,44.7303074,-0.617939
Pratum 2015,Italy,SÃ¼dtirol - Alto Adige,Castel Sallegg,4.0,26,26.29,2015,White,46.414789,11.239828
Ã–lberg Riesling 2017,Germany,Rheinhessen,KÃ¼hling-Gillot,4.2,26,35.65,2017,White,49.93124,8.3066
M GrÃ¼ner Veltliner Smaragd 2017,Austria,Wachau,F.X. Pichler,4.3,26,72.5,2017,White,48.3877757,15.530616
