name,winery,country,latitude,longitude
1,Conte d'Attimis Maniago,Italy,46.0096606,13.3416919
2,Weinbau Uwe Schiefer,Austria,47.2340461,16.3484524
6,Diel,Germany,,
7,Von Winning,Germany,49.4106226,8.1863799
11,Domaine Pfister,France,48.5854917,7.5083387
13,Egon Müller - Scharzhof,Germany,,
18,Rings,Germany,,
28,Rings,Germany,,
35,Château de Schengen,Luxembourg,49.4707634,6.3655221
39,Wittmann,Germany,41.8483505,-73.0750579
41,Mezzacorona,Italy,,
44,René Muré,France,,
46,Finca Garabelos,Spain,,
47,Dr. Heger,Germany,43.2071186,-86.2086644
50,Ellermann-Spiegel,Germany,49.2624096,8.187472
55,Pietracupa,Italy,41.6804743,14.5130967
58,Castel Sallegg,Italy,46.414789,11.239828
59,Cusumano,Italy,41.3679869,-75.7375741
62,Suavia,Italy,45.45273,11.2549
68,Weingut Bründlmayer,Austria,48.4738838,15.6650811
72,Prinz von Hessen,Germany,49.9953086,7.9814577
76,Domaine de la Janasse,France,,
78,Pascal Jolivet,France,,
79,Acustic Celler,Spain,41.1268098,0.7963686
81,Château de Fosse-Sèche,France,47.1575222,-0.208358
84,Luddite,South Africa,,
85,Gauby,France,42.74938,2.7636073
95,Château Gazin Rocquencourt,France,44.7303074,-0.617939
96,Castel Sallegg,Italy,46.414789,11.239828
97,Kühling-Gillot,Germany,49.93124,8.3066
107,F.X. Pichler,Austria,48.3877757,15.530616
119,Saint Clair,New Zealand,42.8208653,-82.486024
121,Markus Molitor,Germany,,
122,Karl Pfaffmann,Germany,49.2346244,8.1198316
125,Van Volxem,Germany,49.6427945,6.5787574
128,Vaccaro,Italy,41.1519317,-81.63385
129,Sandhi,United States,,
133,Georg Mosbacher,Germany,49.4232231,8.1898981
136,Joh. Jos. Prüm,Germany,49.941491,7.0459825
138,Wagner-Stempel,Germany,49.79729,7.95609
141,Weingüter Wegeler,Germany,,
142,Tiefenbrunner,Italy,,
143,Von Winning,Germany,49.4106226,8.1863799
150,Villabella,Italy,38.7881393,-77.3013687
152,Ziereisen,Germany,47.6547677,7.5591644
155,Roveglia,Italy,,
156,Juliusspital,Germany,49.7978083,9.9312636
165,Korrell,Germany,49.8441406,7.9146891
170,Dr. Von Bassermann-Jordan,Germany,49.4081542,8.1857663
172,Ökonomierat Rebholz,Germany,49.2091692,8.0507121
178,Château de Saint Louans,France,47.1719409,0.21637
179,Gut Hermannsberg,Germany,49.7961111,7.7583333
182,Lvnae,Italy,,
183,Trimbach,France,48.1944177,7.3254174
184,Peter Jakob Kühn,Germany,50.01094,8.02121
185,Karl Pfaffmann,Germany,49.2346244,8.1198316
191,Chirat,France,,
196,Kühling-Gillot,Germany,49.93124,8.3066
202,Wittmann,Germany,41.8483505,-73.0750579
205,Ansgar Clüsserath,Germany,49.82332,6.89939
210,F.X. Pichler,Austria,48.3877757,15.530616
212,Domaine Jean Monnier & Fils,France,46.9782884,4.7698473
214,Jülg,Germany,49.0510007,7.9556657
218,Dr. Koehler,Germany,30.5541717,-87.8939921
222,Dr. Bürklin-Wolf,Germany,,
232,Salwey,Germany,48.0889834,7.6292858
233,Delas,France,,
236,Collefrisio,Italy,42.2798721,14.3674517
238,Ziereisen,Germany,47.6547677,7.5591644
240,Kurt Hain,Germany,,
241,Langmeil,Australia,,
253,Emrich-Schönleber,Germany,,
257,Reichsrat von Buhl,Germany,,
259,Dr. Von Bassermann-Jordan,Germany,49.4081542,8.1857663
263,Von Winning,Germany,49.4106226,8.1863799
268,August Kesseler,Germany,49.988934,7.866159
269,Domaine Saumaize-Michelin,France,46.3113586,4.7159852
272,Dönnhoff,Germany,,
280,Von Winning,Germany,49.4106226,8.1863799
289,Frescobaldi,Italy,,
292,Jean-Marc Morey,France,46.9380673,4.7313782
295,René Muré,France,,
297,Abadal,Spain,41.8184631,1.9791708
302,Pazo Señorans,Spain,42.5471983,-8.708844
303,Markus Molitor,Germany,,
306,Meyer - Näkel,Germany,50.5361439,7.0442558
309,Knipser,Germany,,
313,Markus Molitor,Germany,,
315,Peter Jakob Kühn,Germany,50.01094,8.02121
318,Domaine Sylvain Morey,France,,
323,Weiser-Künstler,Germany,49.9522315,7.1122888
326,Joachim Flick,Germany,50.0256932,8.397109
328,Domaine Henri Delagrange et Fils,France,47.0063605,4.7761406
333,Firriato,Italy,38.1129343,15.1110949
335,Les Héritiers du Comte Lafon,France,46.3500686,4.6962686
337,Franz Keller,Germany,,
338,Boschendal,South Africa,-33.8774894,18.9727309
339,Domaine de l'Horizon,France,42.7490171,2.6777274
351,Reichsgraf von Kesselstatt,Germany,,
352,Domaine de la Janasse,France,,
357,Tement,Austria,46.6861778,15.6125406
359,St. Michael-Eppan,Italy,46.4560767,11.2623877
360,Weingut A. Diehl,Germany,,
363,Château de Corneilla,France,42.6254321,2.9487442
364,Markus Molitor,Germany,,
365,Bischöfliche Weingüter Trier,Germany,49.7515342,6.6399687
369,Valdecuevas,Spain,41.393648,-4.980755
373,Domaine Henri Boillot,France,46.9686198,4.7971731
379,Rocca delle Macìe,Italy,,
381,Garciarevalo,Spain,41.4119523,-4.7921423
384,Malavasi,Italy,,
385,Schäfer-Fröhlich,Germany,49.8376011,7.6809546
388,De Grendel,South Africa,-33.851365,18.571616
393,Carl Loewen,Germany,49.820941,6.8760936
400,Weingut Bürgermeister Carl Koch,Germany,49.8494825,8.3538873
409,Heumann,Hungary,,
413,Friedrich Becker,Germany,,
419,Carl Loewen,Germany,49.820941,6.8760936
423,Egon Müller - Scharzhof,Germany,,
428,Dr. Loosen,Germany,,
429,Saint Clair,New Zealand,42.8208653,-82.486024
434,Spreitzer,Germany,48.13691,8.75783
444,Monmousseau,France,47.3448719,1.19732
446,David Moret-Nomine,France,47.022269,4.8426516
447,E. Guigal,France,,
453,Markus Molitor,Germany,,
456,Louis Latour,France,,
462,Dönnhoff,Germany,,
465,Prinz von Hessen,Germany,49.9953086,7.9814577
466,Kühling-Gillot,Germany,49.93124,8.3066
469,Diel,Germany,,
474,Forstmeister Geltz-Zilliken,Germany,49.605545,6.5432753
477,Domaine de la Janasse,France,,
481,Weingut Knoll,Austria,48.3883514,15.5422425
483,Rudolf May,Germany,49.9125057,9.867397
485,Robert Mondavi,United States,,
487,Trimbach,France,48.1944177,7.3254174
489,Markus Molitor,Germany,,
492,Knewitz,Germany,49.92575,8.04167
493,Domaine Henri Boillot,France,46.9686198,4.7971731
495,Gritsch Mauritiushof,Austria,48.3656924,15.4145285
507,Bouchard Finlayson,South Africa,-34.381722,19.241867
508,Knipser,Germany,,
515,Rudolf May,Germany,49.9125057,9.867397
521,Claus Preisinger,Austria,47.9081538,16.9103232
522,Van Volxem,Germany,49.6427945,6.5787574
527,Fontanafredda,Italy,45.9747129,12.56818
529,Schloss Johannisberg,Germany,49.9999818,7.9837394
530,Robert Weil,Germany,,
533,Peter Lauer,Germany,49.6289469,6.5532144
534,Domaine Saumaize-Michelin,France,46.3113586,4.7159852
535,Wild Rock,New Zealand,43.5906321,-89.7797169
537,Alexander Laible,Germany,48.49884,7.99255
539,Korrell,Germany,49.8441406,7.9146891
540,Anura,South Africa,,
541,Joseph Drouhin,France,,
545,Schloss Lieser,Germany,49.9172879,7.0195801
547,Stina,Croatia,39.9252126,-75.1747247
551,Markus Molitor,Germany,,
553,Feudi di San Gregorio,Italy,40.9111904,14.8675003
554,Bomont de Cormeil,France,43.5988,6.1385394
558,Rocca di Montemassi,Italy,42.9507571,11.0568591
565,Louis Latour,France,,
568,Ziereisen,Germany,47.6547677,7.5591644
570,Gross,Slovenia,,
571,Leth,Austria,,
574,Egon Müller - Scharzhof,Germany,,
582,Gut Hermannsberg,Germany,49.7961111,7.7583333
588,Paul Jaboulet Aîné,France,,
592,Clemens Busch,Germany,50.0427037,7.1295895
594,Domaine Pfister,France,48.5854917,7.5083387
603,Weingut Bründlmayer,Austria,48.4738838,15.6650811
606,Trimbach,France,48.1944177,7.3254174
607,Ritterhof,Italy,47.5921111,-120.6694417
609,Bernard Baudry,France,47.160439,0.332553
611,Château de Chamirey,France,46.8248564,4.7235317
615,Domaine Belleville,France,46.8777896,4.7529711
627,Colterenzio (Schreckbichl),Italy,,
638,Schloss Gobelsburg,Austria,48.461037,15.69598
639,Fritz Haag,Germany,,
643,Tianna Negre,Spain,39.6934542,2.8606695
644,Weingut Abraham,Italy,46.4636853,11.2577692
646,I Capitani,Italy,41.0245895,14.9252253
651,Vincent Girardin,France,,
653,Barth,Germany,,
656,Capichera,Italy,41.0396864,9.3836958
657,Vincent Girardin,France,,
661,Krämer - Straight,Germany,,
668,Spreitzer,Germany,48.13691,8.75783
672,Schäfer-Fröhlich,Germany,49.8376011,7.6809546
680,Groebe,Germany,49.7065206,8.2477265
682,Enate,Spain,,
684,Domaine de Beaurenard,France,44.0536209,4.834506
685,Reina de Castilla,Spain,,
689,Loimer,Austria,48.4820775,15.6824926
690,Spreitzer,Germany,48.13691,8.75783
695,Louis Jadot - Domaine Duc de Magenta,France,,
698,Kühling-Gillot,Germany,49.93124,8.3066
701,Karl Erbes,Germany,49.9860663,7.0070898
704,Joseph Drouhin,France,,
708,Forstmeister Geltz-Zilliken,Germany,49.605545,6.5432753
710,Weedenborn,Germany,49.722975,8.226208
712,Château de Tracy,France,47.3207251,2.8928721
713,St. Michael-Eppan,Italy,46.4560767,11.2623877
714,Dönnhoff,Germany,,
716,Markus Molitor,Germany,,
722,Paul Jaboulet Aîné,France,,
725,Prager,Austria,,
726,Emrich-Schönleber,Germany,,
732,Müller-Catoir,Germany,49.3613071,8.1378202
733,Gut Hermannsberg,Germany,49.7961111,7.7583333
739,Alois Lageder,Italy,46.2881958,11.2099521
745,Gut Hermannsberg,Germany,49.7961111,7.7583333
746,Marco Felluga,Italy,,
747,Emrich-Schönleber,Germany,,
749,Bouchard Père & Fils,France,,
752,E. Guigal,France,,
759,Aaldering,South Africa,-33.9196827,18.8277804
768,Maximin Grünhaus,Germany,49.7696275,6.7169033
779,Xavier Monnot,France,,
780,Oliver Zeter,Germany,49.3706789,8.1433803
783,Dona Berta,Portugal,,
787,Prinz von Hessen,Germany,49.9953086,7.9814577
791,Battenfeld Spanier,Germany,49.93124,8.3066
794,Niepoort,Portugal,,
796,St. Michael-Eppan,Italy,46.4560767,11.2623877
798,Becker Landgraf,Germany,49.77575,8.19913
806,Weinhaus Gebruder Steffen,Germany,49.8204869,6.8987102
809,Domaine Henri Boillot,France,46.9686198,4.7971731
810,Schäfer-Fröhlich,Germany,49.8376011,7.6809546
813,Peter Lauer,Germany,49.6289469,6.5532144
816,Domaine des Hâtes,France,47.871254,3.7700113
818,Louis Jadot,France,,
819,Markus Molitor,Germany,,
821,Herrenhof Lamprecht,Austria,47.0542711,15.805406
823,Markus Molitor,Germany,,
827,Domaine Henri Boillot,France,46.9686198,4.7971731
829,Gut Hermannsberg,Germany,49.7961111,7.7583333
833,Prager,Austria,,
836,Markus Molitor,Germany,,
837,Forstmeister Geltz-Zilliken,Germany,49.605545,6.5432753
838,Vignoble des 2 Lunes,France,48.0597786,7.2979689
839,Pescaja,Italy,44.8165092,8.0100413
844,Van Volxem,Germany,49.6427945,6.5787574
845,Roveglia,Italy,,
853,Andreas Bender,Germany,,
854,Marco Felluga,Italy,,
857,Emrich-Schönleber,Germany,,
859,St. Urbans-Hof,Germany,,
861,Krämer - Straight,Germany,,
865,Bret Brothers & The Soufrandière,France,,
869,Weingut Thanisch,Germany,49.9169401,7.0123052
871,Emrich-Schönleber,Germany,,
877,Pieria Eratini (Πιερία Ερατεινή),Greece,40.462197,22.4881768
878,Château de Beaucastel,France,44.104852,4.8521481
879,Hugel,France,,
881,Ökonomierat Rebholz,Germany,49.2091692,8.0507121
885,Schäfer-Fröhlich,Germany,49.8376011,7.6809546
888,Emrich-Schönleber,Germany,,
889,Es Fangar,Spain,39.495917,3.19586
891,Gut Hermannsberg,Germany,49.7961111,7.7583333
893,Patz & Hall,United States,45.0825614,-88.0344085
894,Enate,Spain,,
895,Sturm,Italy,,
896,Collefrisio,Italy,42.2798721,14.3674517
898,Taylors / Wakefield,Australia,,
901,Fritsch,Austria,,
906,Kühling-Gillot,Germany,49.93124,8.3066
907,Capichera,Italy,41.0396864,9.3836958
909,Maximin Grünhaus,Germany,49.7696275,6.7169033
912,Emile Beyer,France,48.0427865,7.3068295
914,Wölffer Estate,United States,,
915,Emrich-Schönleber,Germany,,
918,Michel Gassier,France,,
920,Kühling-Gillot,Germany,49.93124,8.3066
922,Domaine du Pavillon,France,45.0496909,4.8653946
926,Castello di Morcote,Switzerland,45.9259296,8.9138982
933,Bouchard Père & Fils,France,,
937,Georg Breuer,Germany,,
940,Albert Boxler,France,48.0997352,7.2725529
945,Neil Ellis,South Africa,25.031148,-77.334599
952,Domaine Henri Boillot,France,46.9686198,4.7971731
953,Markus Molitor,Germany,,
957,Diel,Germany,,
962,Paul Jaboulet Aîné,France,,
