Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Ronco Broilo 2010,Italy,Colli Orientali del Friuli,Conte d'Attimis Maniago,4.3,25,44.9,2010,White,46.0096606,13.3416919
Weisser Schiefer s 2017,Austria,SÃ¼dburgenland,Weinbau Uwe Schiefer,4.2,25,33.25,2017,White,47.2340461,16.3484524
Goldloch Riesling GG 2016,Germany,Nahe,Diel,4.1,25,33.9,2016,White,47.2340461,16.3484524
Kieselberg GG 2015,Germany,Pfalz,Von Winning,4.1,25,33.95,2015,White,49.4106226,8.1863799
Berg Riesling 2018,France,Alsace,Domaine Pfister,4.2,25,15.9,2018,White,48.5854917,7.5083387
Riesling 'Le Gallais' Wiltinger Braune Kupp Kabinett 2018,Germany,Wiltingen,Egon MÃ¼ller - Scharzhof,4.3,25,38.94,2018,White,42.857028,12.523899
Kallstadter Steinacker Riesling 2015,Germany,Pfalz,Rings,4,25,19,2015,White,46.3500686,4.6962686
Kalk & Stein 2017,Germany,Pfalz,Rings,4.1,25,16.7,2017,White,48.2043382,16.3658336
Pinot Gris 2016,Luxembourg,Luxembourg,ChÃ¢teau de Schengen,4.1,25,21.44,2016,White,49.4707634,6.3655221
Westhofener Weisser Burgunder - Chardonnay Trocken 2017,Germany,Rheinhessen,Wittmann,4.1,25,18.53,2017,White,41.8483505,-73.0750579
Castel Firmian Pinot Grigio Riserva 2018,Italy,Teroldego Rotaliano,Mezzacorona,4,25,9.37,2018,White,49.9516137,7.1238136
CÃ´te de Rouffach Pinot Gris 2017,France,Alsace,RenÃ© MurÃ©,4.1,25,15.5,2017,White,48.160043,7.8124223
La Trucha AlbariÃ±o 2019,Spain,RÃ­as Baixas,Finca Garabelos,4.3,25,14.7,2019,White,48.160043,7.8124223
Schlossberg Achkarren Grauburgunder GG 2016,Germany,Baden,Dr. Heger,4,25,28,2016,White,43.2071186,-86.2086644
Sauvignon Blanc 2019,Germany,Pfalz,Ellermann-Spiegel,4.1,26,7.36,2019,White,49.2624096,8.187472
Greco di Tufo 2018,Italy,Campania,Pietracupa,4,26,23.65,2018,White,41.6804743,14.5130967
Lotterbrunnen GewÃ¼rztraminer 2016,Italy,SÃ¼dtirol - Alto Adige,Castel Sallegg,4.1,26,11.5,2016,White,46.414789,11.239828
JalÃ¨ (Tenuta Ficuzza) 2018,Italy,Sicilia,Cusumano,4.1,26,15.5,2018,White,41.3679869,-75.7375741
Monte Carbonare 2018,Italy,Soave Classico,Suavia,4.1,26,12.3,2018,White,45.45273,11.2549
GrÃ¼ner Veltliner Lamm Reserve 2017,Austria,Kamptal,Weingut BrÃ¼ndlmayer,4.1,26,43.99,2017,White,48.4738838,15.6650811
Royal Riesling Kabinett Trocken 2018,Germany,Johannisberg,Prinz von Hessen,4,26,12.5,2018,White,49.9953086,7.9814577
