name,winery,country,latitude,longitude
1,Conte d'Attimis Maniago,Italy,46.0096606,13.3416919
2,Weinbau Uwe Schiefer,Austria,47.2340461,16.3484524
3,Krämer - Straight,Germany,47.2340461,16.3484524
4,Luna Gaia,Italy,47.2340461,16.3484524
5,Schneider,Germany,47.2340461,16.3484524
6,Diel,Germany,47.2340461,16.3484524
7,Von Winning,Germany,49.4106226,8.1863799
8,Feudi Branciforti dei Bordonaro,Italy,49.4106226,8.1863799
9,Bove,Italy,49.4106226,8.1863799
10,Torresella,Italy,49.4106226,8.1863799
11,Domaine Pfister,France,48.5854917,7.508338699999999
12,SIGNÆ,Italy,42.85702800000001,12.523899
13,Egon Müller - Scharzhof,Germany,42.85702800000001,12.523899
14,Tramin,Italy,46.3408096,11.2421663
15,Félix Solís,Spain,38.7753369,-3.395914
16,Spreitzer,Germany,48.13691,8.75783
17,Les Héritiers du Comte Lafon,France,46.3500686,4.6962686
18,Rings,Germany,46.3500686,4.6962686
19,Cantina Kaltern,Italy,46.4208679,11.2520982
20,Weninger,Hungary,46.4208679,11.2520982
21,Weingut A. Diehl,Germany,46.4208679,11.2520982
22,Wittmann,Germany,41.8483505,-73.07505789999999
23,A. Christmann,Germany,41.8483505,-73.07505789999999
24,Burggarten,Germany,48.2043382,16.3658336
25,Martin Tesch,Germany,48.2043382,16.3658336
26,Knipser,Germany,48.2043382,16.3658336
27,Cantina di Soave,Italy,48.2043382,16.3658336
28,Rings,Germany,48.2043382,16.3658336
29,Schloss Vollrads,Germany,50.0138224,7.9950867
30,Tina Pfaffmann,Germany,50.0138224,7.9950867
31,Weingut Seckinger,Germany,49.41452229999999,8.2128821
32,Trenz,Germany,36.2473265,-93.1186793
33,Langmeil,Australia,36.2473265,-93.1186793
34,El Vínculo,Spain,36.2473265,-93.1186793
35,Château de Schengen,Luxembourg,49.4707634,6.3655221
36,Marc Brédif,France,47.4103287,0.7755462
37,Markus Molitor,Germany,47.4103287,0.7755462
38,Leth,Austria,47.4103287,0.7755462
39,Wittmann,Germany,41.8483505,-73.07505789999999
40,Villa Huesgen,Germany,49.9516137,7.1238136
41,Mezzacorona,Italy,49.9516137,7.1238136
42,Bernhard Huber,Germany,48.16004299999999,7.812422299999999
43,Klippenkop,South Africa,48.16004299999999,7.812422299999999
44,René Muré,France,48.16004299999999,7.812422299999999
45,Manz,Germany,48.16004299999999,7.812422299999999
46,Finca Garabelos,Spain,48.16004299999999,7.812422299999999
47,Dr. Heger,Germany,43.2071186,-86.20866439999999
48,Emrich-Schönleber,Germany,43.2071186,-86.20866439999999
49,Louis Latour,France,43.2071186,-86.20866439999999
50,Ellermann-Spiegel,Germany,49.2624096,8.187472
51,Emrich-Schönleber,Germany,49.2624096,8.187472
52,Epicuro,Italy,49.2624096,8.187472
53,Escudo Rojo,Chile,49.2624096,8.187472
54,Calmel & Joseph,France,49.2624096,8.187472
55,Pietracupa,Italy,41.6804743,14.5130967
56,Langmeil,Australia,41.6804743,14.5130967
57,Roberto Lucarelli,Italy,43.7799371,12.8836279
58,Castel Sallegg,Italy,46.414789,11.239828
59,Cusumano,Italy,41.3679869,-75.7375741
60,Bouchard Père & Fils,France,41.3679869,-75.7375741
61,Tűzkő,Hungary,41.3679869,-75.7375741
62,Suavia,Italy,45.45273,11.2549
63,Domaine Servin,France,47.8155479,3.8043411
64,Bernhard Ott,Austria,48.4425835,15.7890148
65,Quintas do Homem,Portugal,41.6895912,-8.4174974
66,Weingut Erich & Walter Polz,Austria,41.6895912,-8.4174974
67,Hofmann,Germany,41.6895912,-8.4174974
68,Weingut Bründlmayer,Austria,48.4738838,15.6650811
69,Burkheimer,Germany,45.5786652,-122.3508686
70,Fattoria San Donato,Italy,43.4405556,11.0177778
71,Weingut Pflüger,Germany,49.4673917,8.1755358
72,Prinz von Hessen,Germany,49.99530859999999,7.9814577
73,Hofmann,Germany,49.99530859999999,7.9814577
74,Marrenon,France,43.7223051,5.545494
75,Château Pesquie,France,44.0745026,5.1882917
76,Domaine de la Janasse,France,44.0745026,5.1882917
77,Long Beach,South Africa,33.7700504,-118.1937395
78,Pascal Jolivet,France,33.7700504,-118.1937395
79,Acustic Celler,Spain,41.1268098,0.7963686
80,Hans Wirsching,Germany,49.70283,10.26118
81,Château de Fosse-Sèche,France,47.1575222,-0.208358
82,Eguren Ugarte,Spain,42.5683612,-2.6152143
83,Peter Lehmann,Australia,-34.5062769,138.967706
84,Luddite,South Africa,-34.5062769,138.967706
85,Gauby,France,42.74938,2.7636073
86,Panizzi,Italy,42.74938,2.7636073
87,Pichler-Krutzler,Austria,48.3882487,15.5332007
88,Domaine de la Tour du Bon,France,43.2144857,5.7678748
89,Thomas Niedermayr,Italy,46.4496745,11.24745
90,Colterenzio (Schreckbichl),Italy,46.4496745,11.24745
91,Le Morette,Italy,45.284673,5.451211
92,Villamedoro,Italy,42.6030466,13.8954889
93,Ascheri,Italy,42.6030466,13.8954889
94,Caldora,Italy,42.6030466,13.8954889
95,Château Gazin Rocquencourt,France,44.7303074,-0.6179390000000001
96,Castel Sallegg,Italy,46.414789,11.239828
97,Kühling-Gillot,Germany,49.93124,8.3066
98,Peter Lauer,Germany,49.6289469,6.5532144
99,Bürgerspital,Germany,49.795352,9.935663
100,Heinrich,Austria,43.1450267,-78.69633139999999
101,Main Divide,New Zealand,43.1450267,-78.69633139999999
102,Cape Point Vineyards,South Africa,-34.0992388,18.3824583
103,Montellori,Italy,43.7355179,10.8080149
104,Fußer,Germany,43.7355179,10.8080149
105,Rita & Rudolf Trossen,Germany,43.7355179,10.8080149
106,Michel Gassier,France,43.7355179,10.8080149
107,F.X. Pichler,Austria,48.38777570000001,15.530616
108,Terroirs de la Noëlle,France,48.38777570000001,15.530616
109,Birgit Braunstein,Austria,48.38777570000001,15.530616
110,Hazendal,South Africa,48.38777570000001,15.530616
111,Knewitz,Germany,49.92575,8.04167
112,Sorentberg,Germany,46.8232565,8.0318306
113,Château Lafaurie-Peyraguey,France,44.549713,-0.338301
114,Balthasar Ress,Germany,50.016097,8.0683057
115,Schätzel,Germany,39.8556153,-84.27216589999999
116,Salcheto,Italy,43.0851955,11.7997138
117,Foradori,Italy,46.2155358,11.0931067
118,Barth,Germany,46.2155358,11.0931067
119,Saint Clair,New Zealand,42.8208653,-82.486024
120,Altos de Rioja,Spain,42.574904,-2.544317
121,Markus Molitor,Germany,42.574904,-2.544317
122,Karl Pfaffmann,Germany,49.2346244,8.1198316
123,Dr. Bürklin-Wolf,Germany,49.2346244,8.1198316
124,Craftwork,United States,49.2346244,8.1198316
125,Van Volxem,Germany,49.6427945,6.5787574
126,Biscardo,Italy,45.39826619999999,11.2700186
127,Horst Sauer,Germany,49.86195739999999,10.1736086
128,Vaccaro,Italy,41.1519317,-81.63385
129,Sandhi,United States,41.1519317,-81.63385
130,Aroa,Spain,41.1519317,-81.63385
131,Régnard,France,41.1519317,-81.63385
132,Paul Mas,France,41.1519317,-81.63385
133,Georg Mosbacher,Germany,49.42322310000001,8.189898099999999
134,Schneider,Germany,49.42322310000001,8.189898099999999
135,Budureasca,Romania,49.42322310000001,8.189898099999999
136,Joh. Jos. Prüm,Germany,49.42322310000001,8.189898099999999
137,Jermann,Italy,49.42322310000001,8.189898099999999
138,Wagner-Stempel,Germany,49.79729,7.95609
139,Heymann-Löwenstein,Germany,50.3148115,7.522224
140,Heymann-Löwenstein,Germany,50.3148115,7.522224
141,Weingüter Wegeler,Germany,50.3148115,7.522224
142,Tiefenbrunner,Italy,50.3148115,7.522224
143,Von Winning,Germany,49.4106226,8.1863799
144,Jayer Gilles,France,49.4106226,8.1863799
145,Schloss Vollrads,Germany,50.0138224,7.9950867
146,Darei,Portugal,50.0138224,7.9950867
147,Rainbow's End,South Africa,50.0138224,7.9950867
148,Ca' Lojera,Italy,45.4522658,10.6416317
149,Siddura,Italy,41.0358688,9.1715407
150,Villabella,Italy,38.7881393,-77.3013687
151,Weingut Metzger,Germany,49.57853309999999,8.161003599999999
152,Ziereisen,Germany,47.6547677,7.559164399999998
153,Tramin,Italy,46.3408096,11.2421663
154,Salwey,Germany,48.0889834,7.6292858
155,Roveglia,Italy,48.0889834,7.6292858
156,Juliusspital,Germany,49.7978083,9.9312636
157,Knewitz,Germany,49.92575,8.04167
158,Gesellmann,Austria,47.598953,16.6291341
159,Escudo Real,Portugal,47.598953,16.6291341
160,Cielo e Terra,Italy,45.4947822,11.3626897
161,Gut Hermannsberg,Germany,49.7961111,7.758333299999999
162,Barone Montalto,Italy,49.7961111,7.758333299999999
163,Winzervereinigung Freyburg-Unstrut,Germany,51.2182141,11.7682491
164,I Capitani,Italy,41.0245895,14.9252253
165,Korrell,Germany,49.8441406,7.914689099999999
166,Markus Molitor,Germany,49.8441406,7.914689099999999
167,Quinta do Lagar Novo,Portugal,39.0519767,-8.987224099999999
168,Hammel & Cie,Germany,56.256349,9.864756999999999
169,Salomon Undhof,Austria,48.40613459999999,15.5897281
170,Dr. Von Bassermann-Jordan,Germany,49.4081542,8.1857663
171,Domäne Wachau,Austria,48.3920656,15.5273111
172,Ökonomierat Rebholz,Germany,49.2091692,8.0507121
173,Roveglia,Italy,49.2091692,8.0507121
174,Albert Boxler,France,48.0997352,7.272552899999999
175,Loimer,Austria,48.4820775,15.6824926
176,Abbotts & Delaunay,France,48.4820775,15.6824926
177,Moncaro,Italy,48.4820775,15.6824926
178,Château de Saint Louans,France,47.1719409,0.21637
179,Gut Hermannsberg,Germany,49.7961111,7.758333299999999
180,American Wings,United States,35.0185594,-85.23814329999999
181,Diel,Germany,35.0185594,-85.23814329999999
182,Lvnae,Italy,35.0185594,-85.23814329999999
183,Trimbach,France,48.1944177,7.3254174
184,Peter Jakob Kühn,Germany,50.01094000000001,8.02121
185,Karl Pfaffmann,Germany,49.2346244,8.1198316
186,Drostdy-Hof,South Africa,49.2346244,8.1198316
187,Durbanville Hills,South Africa,-33.8249281,18.5658089
188,Herbert Zillinger,Austria,48.43839939999999,16.7920721
189,Krämer - Straight,Germany,48.43839939999999,16.7920721
190,Cantina Kaltern,Italy,46.4208679,11.2520982
191,Chirat,France,46.4208679,11.2520982
192,Studier,Germany,46.4208679,11.2520982
193,Langlois-Chateau,France,47.2703169,-0.1046324
194,Kleine Zalze,South Africa,47.2703169,-0.1046324
195,La Prendina,Italy,45.4034853,10.6574597
196,Kühling-Gillot,Germany,49.93124,8.3066
197,Dönnhoff,Germany,49.93124,8.3066
198,Antichi Vinai,Italy,37.871503,15.039455
199,Louis Jadot,France,37.871503,15.039455
200,Domaine de Baron'arques,France,43.045888,2.2796198
201,Palagetto,Italy,43.456607,11.0338638
202,Wittmann,Germany,41.8483505,-73.07505789999999
203,Carl Loewen,Germany,49.820941,6.8760936
204,Baron Philippe de Rothschild,France,49.820941,6.8760936
205,Ansgar Clüsserath,Germany,49.82332,6.899389999999999
206,Frescobaldi,Italy,49.82332,6.899389999999999
207,Tenuta Rapitalà,Italy,37.9209757,13.0714772
208,Ghost Pines,United States,37.9209757,13.0714772
209,Tenuta Ulisse,Italy,42.287183,14.328243
210,F.X. Pichler,Austria,48.38777570000001,15.530616
211,Schloss Vollrads,Germany,50.0138224,7.9950867
212,Domaine Jean Monnier & Fils,France,46.9782884,4.7698473
213,Schloss Lieser,Germany,49.9172879,7.0195801
214,Jülg,Germany,49.0510007,7.9556657
215,Vivolo di Sasso,Italy,49.0510007,7.9556657
216,Spreitzer,Germany,48.13691,8.75783
217,Tommasi,Italy,48.13691,8.75783
218,Dr. Koehler,Germany,30.5541717,-87.89399209999999
219,Maurizio B Martino MBM,Italy,30.5541717,-87.89399209999999
220,Claus Preisinger,Austria,47.90815380000001,16.9103232
221,Millton,New Zealand,-38.6770746,177.8979651
222,Dr. Bürklin-Wolf,Germany,-38.6770746,177.8979651
223,Clos du Caillou,France,44.0842768,4.8567746
224,MAN,South Africa,44.0842768,4.8567746
225,Wageck-Pfaffmann,Germany,49.5363,8.20455
226,Fairview,South Africa,49.5363,8.20455
227,Kristinus,Hungary,46.6335144,17.3940906
228,Collavini,Italy,45.99516269999999,13.4421301
229,A. Christmann,Germany,45.99516269999999,13.4421301
230,Regismont,France,45.99516269999999,13.4421301
231,Borgo Magredo,Italy,46.095699,12.846102
232,Salwey,Germany,48.0889834,7.6292858
233,Delas,France,48.0889834,7.6292858
234,Poggio Al Sole,Italy,43.5697816,11.2663726
235,Weingut Wöhrle,Germany,48.34318,7.850420000000001
236,Collefrisio,Italy,42.2798721,14.3674517
237,Schloss Lieser,Germany,49.9172879,7.0195801
238,Ziereisen,Germany,47.6547677,7.559164399999998
239,Selbach-Oster,Germany,47.6547677,7.559164399999998
240,Kurt Hain,Germany,47.6547677,7.559164399999998
241,Langmeil,Australia,47.6547677,7.559164399999998
242,Sartori,Italy,47.6547677,7.559164399999998
243,Tasca d'Almerita,Italy,47.6547677,7.559164399999998
244,Klumpp,Germany,46.5445156,-87.39786959999999
