Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Ronco Broilo 2010,Italy,Colli Orientali del Friuli,Conte d'Attimis Maniago,4.3,25,44.9,2010,White,46.0096606,13.3416919
Weisser Schiefer s 2017,Austria,Südburgenland,Weinbau Uwe Schiefer,4.2,25,33.25,2017,White,47.2340461,16.3484524
Chardonnay 2018,Germany,Rheinhessen,Krämer - Straight,3.9,25,8.99,2018,White,47.2340461,16.3484524
Maganza Zibibbo 2018,Italy,Terre Siciliane,Luna Gaia,3.9,25,8.6,2018,White,47.2340461,16.3484524
Chardonnay 2019,Germany,Pfalz,Schneider,3.7,25,15.9,2019,White,47.2340461,16.3484524
Goldloch Riesling GG 2016,Germany,Nahe,Diel,4.1,25,33.9,2016,White,47.2340461,16.3484524
Kieselberg GG 2015,Germany,Pfalz,Von Winning,4.1,25,33.95,2015,White,49.4106226,8.1863799
Catarratto 2019,Italy,Terre Siciliane,Feudi Branciforti dei Bordonaro,3.8,25,5.0,2019,White,49.4106226,8.1863799
Safari Pecorino 2017,Italy,Terre di Chieti,Bove,3.4,25,6.74,2017,White,49.4106226,8.1863799
Sauvignon Veneto 2019,Italy,Veneto,Torresella,3.8,25,6.77,2019,White,49.4106226,8.1863799
Berg Riesling 2018,France,Alsace,Domaine Pfister,4.2,25,15.9,2018,White,48.5854917,7.508338699999999
Grechetto 2018,Italy,Umbria,SIGNÆ,3.6,25,8.9,2018,White,42.85702800000001,12.523899
Riesling 'Le Gallais' Wiltinger Braune Kupp Kabinett 2018,Germany,Wiltingen,Egon Müller - Scharzhof,4.3,25,38.94,2018,White,42.85702800000001,12.523899
Unterebner Pinot Grigio 2018,Italy,Südtirol - Alto Adige,Tramin,3.7,25,20.37,2018,White,46.3408096,11.2421663
The Guv'nor Blanco 2019,Spain,Castilla,Félix Solís,3.7,25,6.89,2019,White,38.7753369,-3.395914
Oestricher Muschelkalk Riesling Trocken 2018,Germany,Rheingau,Spreitzer,3.8,25,10.4,2018,White,48.13691,8.75783
Mâcon-Prissé 2014,France,Mâcon-Prissé,Les Héritiers du Comte Lafon,3.7,25,25.92,2014,White,46.3500686,4.6962686
Kallstadter Steinacker Riesling 2015,Germany,Pfalz,Rings,4.0,25,19.0,2015,White,46.3500686,4.6962686
Kerner Carned 2018,Italy,Südtirol - Alto Adige,Cantina Kaltern,3.7,25,16.17,2018,White,46.4208679,11.2520982
Fehérburgundi 2017,Hungary,Sopron,Weninger,3.9,25,11.02,2017,White,46.4208679,11.2520982
Grauburgunder - Weissburgunder 2019,Germany,Pfalz,Weingut A. Diehl,3.4,25,7.05,2019,White,46.4208679,11.2520982
Weisser Burgunder Trocken 2013,Germany,Rheinhessen,Wittmann,3.9,25,10.63,2013,White,41.8483505,-73.07505789999999
Ruppertsberg Riesling 2017,Germany,Pfalz,A. Christmann,3.7,25,19.87,2017,White,41.8483505,-73.07505789999999
Weissburgunder Trocken 2017,Germany,Ahr,Burggarten,3.9,25,10.72,2017,White,48.2043382,16.3658336
Deep Blue 2018,Germany,Nahe,Martin Tesch,3.5,25,10.9,2018,White,48.2043382,16.3658336
Gewürztraminer - Riesling Trocken 2017,Germany,Pfalz,Knipser,3.9,25,10.9,2017,White,48.2043382,16.3658336
Veneto Bianco 2017,Italy,Veneto,Cantina di Soave,2.7,25,5.42,2017,White,48.2043382,16.3658336
Kalk & Stein 2017,Germany,Pfalz,Rings,4.1,25,16.7,2017,White,48.2043382,16.3658336
Schlossberg 2017,Germany,Rheingau,Schloss Vollrads,3.9,25,27.78,2017,White,50.0138224,7.9950867
Schick und Schön 2018,Germany,German Wine,Tina Pfaffmann,3.7,25,10.9,2018,White,50.0138224,7.9950867
R Chardonnay Nature 2018,Germany,Pfalz,Weingut Seckinger,3.7,25,15.4,2018,White,49.41452229999999,8.2128821
Johannisberg Riesling Alte Reben Trocken 2018,Germany,Rheingau,Trenz,3.8,25,11.9,2018,White,36.2473265,-93.1186793
Live Wire Riesling 2019,Australia,Barossa,Langmeil,3.5,25,11.95,2019,White,36.2473265,-93.1186793
Alejairén Airen 2017,Spain,La Mancha,El Vínculo,3.6,25,18.42,2017,White,36.2473265,-93.1186793
Pinot Gris 2016,Luxembourg,Luxembourg,Château de Schengen,4.1,25,21.44,2016,White,49.4707634,6.3655221
Muscadet Sèvre-et-Maine Sur Lie 2017,France,Muscadet-Sevre et Maine,Marc Brédif,3.9,25,14.38,2017,White,47.4103287,0.7755462
W Riesling 2016,Germany,Mosel,Markus Molitor,3.4,25,31.68,2016,White,47.4103287,0.7755462
Ried Schafflerberg Grüner Veltliner 2018,Austria,Wagram,Leth,3.9,25,12.07,2018,White,47.4103287,0.7755462
Westhofener Weisser Burgunder - Chardonnay Trocken 2017,Germany,Rheinhessen,Wittmann,4.1,25,18.53,2017,White,41.8483505,-73.07505789999999
Schiefer Riesling Trocken 2018,Germany,Mosel,Villa Huesgen,3.6,25,14.11,2018,White,49.9516137,7.1238136
Castel Firmian Pinot Grigio Riserva 2018,Italy,Teroldego Rotaliano,Mezzacorona,4.0,25,9.37,2018,White,49.9516137,7.1238136
Grauer Burgunder Trocken 2016,Germany,Baden,Bernhard Huber,3.8,25,17.79,2016,White,48.16004299999999,7.812422299999999
Chenin Blanc 2018,South Africa,Robertson,Klippenkop,3.6,25,6.54,2018,White,48.16004299999999,7.812422299999999
Côte de Rouffach Pinot Gris 2017,France,Alsace,René Muré,4.1,25,15.5,2017,White,48.16004299999999,7.812422299999999
Chardonnay Kalkstein Trocken 2018,Germany,Rheinhessen,Manz,3.9,25,11.5,2018,White,48.16004299999999,7.812422299999999
La Trucha Albariño 2019,Spain,Rías Baixas,Finca Garabelos,4.3,25,14.7,2019,White,48.16004299999999,7.812422299999999
Schlossberg Achkarren Grauburgunder GG 2016,Germany,Baden,Dr. Heger,4.0,25,28.0,2016,White,43.2071186,-86.20866439999999
Frühtau Riesling Trocken 2018,Germany,Nahe,Emrich-Schönleber,3.9,26,17.5,2018,White,43.2071186,-86.20866439999999
Pouilly-Vinzelles En Paradis 2018,France,Pouilly-Vinzelles,Louis Latour,3.8,26,15.98,2018,White,43.2071186,-86.20866439999999
Sauvignon Blanc 2019,Germany,Pfalz,Ellermann-Spiegel,4.1,26,7.36,2019,White,49.2624096,8.187472
Weissburgunder Trocken 2018,Germany,Nahe,Emrich-Schönleber,3.8,26,15.5,2018,White,49.2624096,8.187472
Pinot Grigio 2019,Italy,Terre Siciliane,Epicuro,3.5,26,5.5,2019,White,49.2624096,8.187472
Sauvignon Blanc Reserva 2018,Chile,Maipo Valley,Escudo Rojo,3.5,26,7.36,2018,White,49.2624096,8.187472
Villa Blanche Sauvignon Blanc 2018,France,Pays d'Oc,Calmel & Joseph,3.4,26,7.4,2018,White,49.2624096,8.187472
Greco di Tufo 2018,Italy,Campania,Pietracupa,4.0,26,23.65,2018,White,41.6804743,14.5130967
Spring Fever Chardonnay 2018,Australia,Eden Valley,Langmeil,3.6,26,11.95,2018,White,41.6804743,14.5130967
Collemare Marche Bianco 2016,Italy,Marche,Roberto Lucarelli,3.9,26,10.95,2016,White,43.7799371,12.8836279
Lotterbrunnen Gewürztraminer 2016,Italy,Südtirol - Alto Adige,Castel Sallegg,4.1,26,11.5,2016,White,46.414789,11.239828
Jalè (Tenuta Ficuzza) 2018,Italy,Sicilia,Cusumano,4.1,26,15.5,2018,White,41.3679869,-75.7375741
Meursault Blanc 2017,France,Meursault,Bouchard Père & Fils,3.8,26,38.7,2017,White,41.3679869,-75.7375741
Sauvignon Blanc 2018,Hungary,Tolna,Tűzkő,3.5,26,7.66,2018,White,41.3679869,-75.7375741
Monte Carbonare 2018,Italy,Soave Classico,Suavia,4.1,26,12.3,2018,White,45.45273,11.2549
Chablis 1er Cru 'Vaillons' 2018,France,Chablis 1er Cru 'Vaillons',Domaine Servin,3.8,26,22.5,2018,White,47.8155479,3.8043411
Der Ott 2018,Austria,Wagram,Bernhard Ott,3.8,26,20.9,2018,White,48.4425835,15.7890148
Vale do Homem Alvarinho 2018,Portugal,Minho,Quintas do Homem,3.7,26,8.38,2018,White,41.6895912,-8.4174974
Grauer Burgunder 2017,Austria,Südsteiermark,Weingut Erich & Walter Polz,3.7,26,22.3,2017,White,41.6895912,-8.4174974
Riesling Trocken 2018,Germany,Rheinhessen,Hofmann,3.7,26,7.95,2018,White,41.6895912,-8.4174974
Grüner Veltliner Lamm Reserve 2017,Austria,Kamptal,Weingut Bründlmayer,4.1,26,43.99,2017,White,48.4738838,15.6650811
Vulkanfelsen Grauer Burgunder Spätlese Trocken 2014,Germany,Baden,Burkheimer,3.8,26,15.9,2014,White,45.5786652,-122.3508686
Vernaccia di San Gimignano 2019,Italy,Vernaccia di San Gimignano,Fattoria San Donato,3.4,26,11.21,2019,White,43.4405556,11.0177778
Sauvignon Blanc Quarzit 2019,Germany,Pfalz,Weingut Pflüger,3.9,26,8.0,2019,White,49.4673917,8.1755358
Royal Riesling Kabinett Trocken 2018,Germany,Johannisberg,Prinz von Hessen,4.0,26,12.5,2018,White,49.99530859999999,7.9814577
Grauburgunder Trocken 2019,Germany,Rheinhessen,Hofmann,3.8,26,7.95,2019,White,49.99530859999999,7.9814577
Doria 2017,France,Luberon,Marrenon,3.5,26,11.99,2017,White,43.7223051,5.545494
Chardonnay 2019,France,Vin de France,Château Pesquie,3.6,26,8.1,2019,White,44.0745026,5.1882917
Châteauneuf-du-Pape Prestige 2012,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,26,69.95,2012,White,44.0745026,5.1882917
Chenin Blanc 2019,South Africa,Western Cape,Long Beach,3.7,26,5.79,2019,White,33.7700504,-118.1937395
Sancerre Blanc 2019,France,Sancerre,Pascal Jolivet,4.1,26,24.24,2019,White,33.7700504,-118.1937395
Ritme Blanc 2017,Spain,Priorat,Acustic Celler,4.0,26,16.99,2017,White,41.1268098,0.7963686
Iphöfer Julius-Echter-Berg Riesling 2018,Germany,Franken,Hans Wirsching,3.8,26,14.74,2018,White,49.70283,10.26118
Arcane 2018,France,Saumur,Château de Fosse-Sèche,4.0,26,27.2,2018,White,47.1575222,-0.208358
Blanco 2018,Spain,Rioja,Eguren Ugarte,3.4,26,4.5,2018,White,42.5683612,-2.6152143
Wildcard Chardonnay (Unoaked) 2018,Australia,South Australia,Peter Lehmann,3.1,26,6.69,2018,White,-34.5062769,138.967706
Chenin 2018,South Africa,Western Cape,Luddite,4.0,26,32.9,2018,White,-34.5062769,138.967706
Vieilles Vignes Côtes Catalanes Blanc 2015,France,Côtes Catalanes,Gauby,4.0,26,29.15,2015,White,42.74938,2.7636073
Evoè Bianco 2013,Italy,Toscana,Panizzi,3.8,26,24.24,2013,White,42.74938,2.7636073
Grüner Veltliner Ried Loibenberg 2017,Austria,Wachau,Pichler-Krutzler,3.8,26,32.87,2017,White,48.3882487,15.5332007
Bandol Blanc 2016,France,Bandol,Domaine de la Tour du Bon,3.8,26,18.84,2016,White,43.2144857,5.7678748
Souvignier Gris 2017,Italy,Mitterberg,Thomas Niedermayr,3.8,26,16.9,2017,White,46.4496745,11.24745
Weissburgunder 2018,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),3.7,26,9.21,2018,White,46.4496745,11.24745
Benedictus Lugana 2018,Italy,Lugana,Le Morette,3.7,26,9.8,2018,White,45.284673,5.451211
Trebbiano d'Abruzzo 2016,Italy,Trebbiano d'Abruzzo,Villamedoro,3.1,26,4.7,2016,White,42.6030466,13.8954889
Arneis Langhe 2018,Italy,Langhe,Ascheri,3.6,26,9.9,2018,White,42.6030466,13.8954889
Trebbiano d'Abruzzo 2018,Italy,Trebbiano d'Abruzzo,Caldora,2.9,26,4.75,2018,White,42.6030466,13.8954889
Pessac-Léognan Blanc 2015,France,Pessac-Léognan,Château Gazin Rocquencourt,4.0,26,34.15,2015,White,44.7303074,-0.6179390000000001
Pratum 2015,Italy,Südtirol - Alto Adige,Castel Sallegg,4.0,26,26.29,2015,White,46.414789,11.239828
Ölberg Riesling 2017,Germany,Rheinhessen,Kühling-Gillot,4.2,26,35.65,2017,White,49.93124,8.3066
Alt Scheidt Riesling Feinherb 2017,Germany,Mosel,Peter Lauer,3.8,26,11.95,2017,White,49.6289469,6.5532144
Steren Weiß- & Grauburgunder Trocken 2018,Germany,Franken,Bürgerspital,3.2,26,9.39,2018,White,49.795352,9.935663
Neuburger Freyheit 2017,Austria,Bergland,Heinrich,3.7,26,18.98,2017,White,43.1450267,-78.69633139999999
Sauvignon Blanc 2018,New Zealand,Marlborough,Main Divide,3.8,26,16.95,2018,White,43.1450267,-78.69633139999999
Sauvignon Blanc 2019,South Africa,Cape Point,Cape Point Vineyards,3.5,26,13.25,2019,White,-34.0992388,18.3824583
Mandorlo White Blend 2018,Italy,Toscana,Montellori,3.7,26,9.37,2018,White,43.7355179,10.8080149
Ruppertsberger Riesling 2017,Germany,Pfalz,Fußer,3.7,26,10.6,2017,White,43.7355179,10.8080149
